station_name,station_descriptive_name,map_id,ada,red,blue,g,brn,p,pexp,y,pnk,o,latitude,longitude,direction_n,direction_s,direction_e,direction_w,num_lines
Irving Park,Irving Park (Brown Line),41460,True,0,0,0,1,0,0,0,0,0,41.954521,-87.674868,1,1,0,0,1
Irving Park,Irving Park (Blue Line),40550,False,0,1,0,0,0,0,0,0,0,41.952925,-87.729229,1,1,0,0,1
Indiana,Indiana (Green Line),40300,True,0,0,1,0,0,0,0,0,0,41.821732,-87.621371,1,1,0,0,1
Illinois Medical District,Illinois Medical District (Blue Line),40810,True,0,1,0,0,0,0,0,0,0,41.875706,-87.673932,0,0,1,1,1
Addison,Addison (Blue Line),41240,True,0,1,0,0,0,0,0,0,0,41.94738,-87.71906,1,1,0,0,1
Harrison,Harrison (Red Line),41490,False,1,0,0,0,0,0,0,0,0,41.874039,-87.627479,1,1,0,0,1
35th-Bronzeville-IIT,35th-Bronzeville-IIT (Green Line),41120,True,0,0,1,0,0,0,0,0,0,41.831677,-87.625826,1,1,0,0,1
Harlem/Lake,Harlem/Lake (Green Line),40020,True,0,0,1,0,0,0,0,0,0,41.886848,-87.803176,0,0,1,1,1
Harlem,Harlem (Blue Line - O'Hare Branch),40750,True,0,1,0,0,0,0,0,0,0,41.98227,-87.8089,1,1,0,0,1
Harlem,Harlem (Blue Line - Forest Park Branch),40980,False,0,1,0,0,0,0,0,0,0,41.87349,-87.806961,0,0,1,1,1
Halsted,Halsted (Orange Line),41130,True,0,0,0,0,0,0,0,0,1,41.84678,-87.648088,1,1,0,0,1
Halsted,Halsted (Green Line),40940,True,0,0,1,0,0,0,0,0,0,41.778943,-87.644244,0,0,1,1,1
Granville,Granville (Red Line),40760,True,1,0,0,0,0,0,0,0,0,41.993664,-87.659202,1,1,0,0,1
Grand,Grand (Red Line),40330,True,1,0,0,0,0,0,0,0,0,41.891665,-87.628021,1,1,0,0,1
Grand,Grand (Blue Line),40490,False,0,1,0,0,0,0,0,0,0,41.891189,-87.647578,1,1,0,0,1
Garfield,Garfield (Red Line),41170,True,1,0,0,0,0,0,0,0,0,41.79542,-87.631157,1,1,0,0,1
Garfield,Garfield (Green Line),40510,True,0,0,1,0,0,0,0,0,0,41.795172,-87.618327,1,1,0,0,1
Addison,Addison (Brown Line),41440,True,0,0,0,1,0,0,0,0,0,41.947028,-87.674642,1,1,0,0,1
Francisco,Francisco (Brown Line),40870,True,0,0,0,1,0,0,0,0,0,41.966046,-87.701644,1,1,0,0,1
Foster,Foster (Purple Line),40520,False,0,0,0,0,1,0,0,0,0,42.05416,-87.68356,1,1,0,0,1
Forest Park,Forest Park (Blue Line),40390,True,0,1,0,0,0,0,0,0,0,41.874257,-87.817318,0,0,1,1,1
Division,Division (Blue Line),40320,False,0,1,0,0,0,0,0,0,0,41.903355,-87.666496,1,1,0,0,1
Addison,Addison (Red Line),41420,True,1,0,0,0,0,0,0,0,0,41.947428,-87.653626,1,1,0,0,1
Dempster-Skokie,Dempster-Skokie  (Yellow Line),40140,True,0,0,0,0,0,0,1,0,0,42.038951,-87.751919,1,1,0,0,1
18th,18th (Pink Line),40830,True,0,0,0,0,0,0,0,1,0,41.857908,-87.669147,0,0,1,1,1
